instrument,auction_date,settlement_date,leg,term_bucket,isin,amount_chf_mn,signed_chf_mn
SNB Bills,2023-01-06,2023-01-09,opening,28d,CH0134866968,9066.0,9066.0
SNB Bills,2023-01-06,2023-01-09,opening,336d,CH0134866976,1205.0,1205.0
GMBF,2022-10-11,2023-01-12,closing,91d,CH1145907676,712.35,-712.35
GMBF,2023-01-10,2023-01-12,opening,91d,CH1145907809,1143.2,1143.2
SNB Bills,2022-12-15,2023-01-16,closing,28d,CH0134866901,8988.0,-8988.0
SNB Bills,2022-10-20,2023-01-16,closing,84d,CH0134866752,3300.0,-3300.0
SNB Bills,2023-01-12,2023-01-16,opening,28d,CH0134866984,6074.0,6074.0
SNB Bills,2023-01-12,2023-01-16,opening,84d,CH0134866992,5425.0,5425.0
GMBF,2022-10-18,2023-01-19,closing,91d,CH1145907684,668.55,-668.55
GMBF,2023-01-17,2023-01-19,opening,91d,CH1145907817,1305.15,1305.15
SNB Bills,2022-12-22,2023-01-23,closing,28d,CH0134866927,11905.0,-11905.0
SNB Bills,2023-01-19,2023-01-23,opening,28d,CH0134867008,10623.0,10623.0
SNB Bills,2023-01-19,2023-01-23,opening,168d,CH0134867016,3614.0,3614.0
Conf. Bonds,2023-01-11,2023-01-25,opening,7yr,CH0224397171,318.3,318.3
Conf. Bonds,2023-01-11,2023-01-25,opening,12yr,CH0557778310,458.55,458.55
Conf. Bonds,2023-01-11,2023-01-25,opening,25yr,CH0009755197,250.65,250.65
GMBF,2022-10-25,2023-01-26,closing,91d,CH1145907692,626.45,-626.45
GMBF,2023-01-24,2023-01-26,opening,91d,CH1145907825,2131.05,2131.05
SNB Bills,2022-12-29,2023-01-30,closing,28d,CH0134866943,4836.0,-4836.0
SNB Bills,2022-11-03,2023-01-30,closing,84d,CH0134866794,1799.0,-1799.0
SNB Bills,2023-01-26,2023-01-30,opening,28d,CH0134867024,6787.0,6787.0
SNB Bills,2023-01-26,2023-01-30,opening,84d,CH0134867032,2005.0,2005.0
GMBF,2022-11-01,2023-02-02,closing,91d,CH1145907700,937.35,-937.35
GMBF,2023-01-31,2023-02-02,opening,91d,CH1145907833,2144.8,2144.8
SNB Bills,2023-01-06,2023-02-06,closing,28d,CH0134866968,9066.0,-9066.0
SNB Bills,2023-02-02,2023-02-06,opening,28d,CH0134867040,8410.0,8410.0
SNB Bills,2023-02-02,2023-02-06,opening,336d,CH0134867057,881.0,881.0
GMBF,2022-08-09,2023-02-09,closing,182d,CH1145907585,677.05,-677.05
GMBF,2023-02-07,2023-02-09,opening,182d,CH1145907841,1488.35,1488.35
SNB Bills,2023-01-12,2023-02-13,closing,28d,CH0134866984,6074.0,-6074.0
SNB Bills,2022-11-17,2023-02-13,closing,84d,CH0134866836,5025.0,-5025.0
SNB Bills,2023-02-09,2023-02-13,opening,84d,CH0134867073,5053.0,5053.0
SNB Bills,2023-02-09,2023-02-13,opening,28d,CH0134867065,9362.0,9362.0
GMBF,2022-11-15,2023-02-16,closing,91d,CH1145907726,1070.6,-1070.6
GMBF,2023-02-14,2023-02-16,opening,91d,CH1145907858,1231.3,1231.3
SNB Bills,2023-01-19,2023-02-20,closing,28d,CH0134867008,10623.0,-10623.0
SNB Bills,2023-02-16,2023-02-20,opening,28d,CH0134867081,10917.0,10917.0
SNB Bills,2023-02-16,2023-02-20,opening,168d,CH0134867099,2966.0,2966.0
Conf. Bonds,2023-02-08,2023-02-22,opening,6yr,CH0224397346,509.08,509.08
Conf. Bonds,2023-02-08,2023-02-22,opening,13yr,CH0024524966,283.75,283.75
Conf. Bonds,2023-02-08,2023-02-22,opening,22yr,CH0344958498,269.75,269.75
GMBF,2022-11-22,2023-02-23,closing,91d,CH1145907734,1120.6,-1120.6
GMBF,2023-02-21,2023-02-23,opening,91d,CH1145907866,1428.0,1428.0
SNB Bills,2023-01-26,2023-02-27,closing,28d,CH0134867024,6787.0,-6787.0
SNB Bills,2022-12-01,2023-02-27,closing,84d,CH0134866877,9065.0,-9065.0
SNB Bills,2023-02-23,2023-02-27,opening,28d,CH1204500685,8654.0,8654.0
SNB Bills,2023-02-23,2023-02-27,opening,84d,CH1204500693,5912.0,5912.0
GMBF,2022-11-29,2023-03-02,closing,91d,CH1145907742,1200.9,-1200.9
GMBF,2023-02-28,2023-03-02,opening,91d,CH1145907874,1158.85,1158.85
SNB Bills,2023-02-02,2023-03-06,closing,28d,CH0134867040,8410.0,-8410.0
SNB Bills,2023-03-02,2023-03-06,opening,28d,CH1204500701,7357.0,7357.0
SNB Bills,2023-03-02,2023-03-06,opening,336d,CH1204500719,3410.0,3410.0
GMBF,2022-12-06,2023-03-09,closing,91d,CH1145907759,960.9,-960.9
GMBF,2023-03-07,2023-03-09,opening,91d,CH1145907882,1207.6,1207.6
SNB Bills,2023-02-09,2023-03-13,closing,28d,CH0134867065,9362.0,-9362.0
SNB Bills,2022-12-15,2023-03-13,closing,84d,CH0134866919,9068.0,-9068.0
SNB Bills,2023-03-09,2023-03-13,opening,28d,CH1204500727,12053.0,12053.0
SNB Bills,2023-03-09,2023-03-13,opening,84d,CH1204500735,8305.0,8305.0
GMBF,2023-03-14,2023-03-16,opening,91d,CH1145907890,1181.5,1181.5
SNB Bills,2023-02-16,2023-03-20,closing,28d,CH0134867081,10917.0,-10917.0
SNB Bills,2022-09-29,2023-03-20,closing,168d,CH0134866638,4605.0,-4605.0
SNB Bills,2023-03-16,2023-03-20,opening,28d,CH1204500743,6155.0,6155.0
SNB Bills,2023-03-16,2023-03-20,opening,168d,CH1204500750,1935.0,1935.0
Conf. Bonds,2023-03-08,2023-03-22,opening,2yr,CH0184249990,210.0,210.0
Conf. Bonds,2023-03-08,2023-03-22,opening,11yr,CH0440081393,274.8,274.8
Conf. Bonds,2023-03-08,2023-03-22,opening,15yr,CH0440081567,346.1,346.1
GMBF,2023-03-21,2023-03-23,opening,91d,CH1145907908,1256.8,1256.8
SNB Bills,2023-02-23,2023-03-27,closing,28d,CH1204500685,8654.0,-8654.0
SNB Bills,2022-12-29,2023-03-27,closing,84d,CH0134866950,3074.0,-3074.0
SNB Bills,2023-03-23,2023-03-27,opening,84d,CH1204500776,4542.0,4542.0
SNB Bills,2023-03-23,2023-03-27,opening,28d,CH1204500768,6892.0,6892.0
SNB Bills,2023-03-23,2023-03-27,opening,7d,CH1204501584,3405.0,3405.0
GMBF,2022-09-27,2023-03-30,closing,182d,CH1145907650,849.35,-849.35
GMBF,2023-03-28,2023-03-30,opening,182d,CH1145907916,1014.3,1014.3
SNB Bills,2023-03-23,2023-04-03,closing,7d,CH1204501584,3405.0,-3405.0
SNB Bills,2023-03-02,2023-04-03,closing,28d,CH1204500701,7357.0,-7357.0
SNB Bills,2023-03-30,2023-04-03,opening,7d,CH1204501501,2366.0,2366.0
SNB Bills,2023-03-30,2023-04-03,opening,28d,CH1204500784,8975.0,8975.0
SNB Bills,2023-03-30,2023-04-03,opening,336d,CH1204500792,810.0,810.0
GMBF,2023-01-03,2023-04-06,closing,91d,CH1145907791,1138.8,-1138.8
GMBF,2023-04-04,2023-04-06,opening,91d,CH1145907924,1055.35,1055.35
SNB Bills,2023-03-30,2023-04-11,closing,7d,CH1204501501,2366.0,-2366.0
SNB Bills,2023-03-09,2023-04-11,closing,28d,CH1204500727,12053.0,-12053.0
SNB Bills,2023-01-12,2023-04-11,closing,84d,CH0134866992,5425.0,-5425.0
SNB Bills,2023-04-06,2023-04-11,opening,7d,CH1204501493,5352.0,5352.0
SNB Bills,2023-04-06,2023-04-11,opening,28d,CH1204500800,10991.0,10991.0
SNB Bills,2023-04-06,2023-04-11,opening,84d,CH1204500818,5818.0,5818.0
GMBF,2023-01-10,2023-04-13,closing,91d,CH1145907809,1143.2,-1143.2
GMBF,2023-04-11,2023-04-13,opening,91d,CH1145907932,1046.65,1046.65
SNB Bills,2023-04-06,2023-04-17,closing,7d,CH1204501493,5352.0,-5352.0
SNB Bills,2023-03-16,2023-04-17,closing,28d,CH1204500743,6155.0,-6155.0
SNB Bills,2022-10-27,2023-04-17,closing,168d,CH0134866778,4812.0,-4812.0
SNB Bills,2023-04-13,2023-04-17,opening,7d,CH1204501485,3570.0,3570.0
SNB Bills,2023-04-13,2023-04-17,opening,28d,CH1204500826,11501.0,11501.0
SNB Bills,2023-04-13,2023-04-17,opening,168d,CH1204500834,2862.0,2862.0
GMBF,2023-01-17,2023-04-20,closing,91d,CH1145907817,1305.15,-1305.15
GMBF,2023-04-18,2023-04-20,opening,91d,CH1145907940,1183.4,1183.4
SNB Bills,2023-04-13,2023-04-24,closing,7d,CH1204501485,3570.0,-3570.0
SNB Bills,2023-03-23,2023-04-24,closing,28d,CH1204500768,6892.0,-6892.0
SNB Bills,2023-01-26,2023-04-24,closing,84d,CH0134867032,2005.0,-2005.0
SNB Bills,2023-04-20,2023-04-24,opening,84d,CH1204500859,9494.0,9494.0
SNB Bills,2023-04-20,2023-04-24,opening,28d,CH1204500842,11295.0,11295.0
SNB Bills,2023-04-20,2023-04-24,opening,7d,CH1204501477,6349.0,6349.0
Conf. Bonds,2023-04-12,2023-04-26,opening,4yr,CH0031835561,100.75,100.75
Conf. Bonds,2023-04-12,2023-04-26,opening,9yr,CH0015803239,623.3,623.3
GMBF,2023-01-24,2023-04-27,closing,91d,CH1145907825,2131.05,-2131.05
GMBF,2023-04-25,2023-04-27,opening,91d,CH1145907957,1004.6,1004.6
SNB Bills,2023-04-20,2023-05-02,closing,7d,CH1204501477,6349.0,-6349.0
SNB Bills,2023-03-30,2023-05-02,closing,28d,CH1204500784,8975.0,-8975.0
SNB Bills,2023-04-27,2023-05-02,opening,7d,CH1204501469,5601.0,5601.0
SNB Bills,2023-04-27,2023-05-02,opening,28d,CH1204500867,14892.0,14892.0
SNB Bills,2023-04-27,2023-05-02,opening,336d,CH1204500875,3869.0,3869.0
GMBF,2023-01-31,2023-05-04,closing,91d,CH1145907833,2144.8,-2144.8
GMBF,2023-05-02,2023-05-04,opening,91d,CH1145907965,851.75,851.75
SNB Bills,2023-04-27,2023-05-08,closing,7d,CH1204501469,5601.0,-5601.0
SNB Bills,2023-04-06,2023-05-08,closing,28d,CH1204500800,10991.0,-10991.0
SNB Bills,2023-02-09,2023-05-08,closing,84d,CH0134867073,5053.0,-5053.0
SNB Bills,2023-05-04,2023-05-08,opening,7d,CH1204501451,6496.0,6496.0
SNB Bills,2023-05-04,2023-05-08,opening,28d,CH1204500883,8103.0,8103.0
SNB Bills,2023-05-04,2023-05-08,opening,84d,CH1204500891,9104.0,9104.0
GMBF,2022-11-08,2023-05-11,closing,182d,CH1145907718,1057.5,-1057.5
GMBF,2023-05-09,2023-05-11,opening,182d,CH1145907973,852.85,852.85
SNB Bills,2023-05-04,2023-05-15,closing,7d,CH1204501451,6496.0,-6496.0
SNB Bills,2023-04-13,2023-05-15,closing,28d,CH1204500826,11501.0,-11501.0
SNB Bills,2022-11-24,2023-05-15,closing,168d,CH0134866851,4874.0,-4874.0
SNB Bills,2023-05-11,2023-05-15,opening,7d,CH1204501444,6740.0,6740.0
SNB Bills,2023-05-11,2023-05-15,opening,28d,CH1204500909,8580.0,8580.0
SNB Bills,2023-05-11,2023-05-15,opening,168d,CH1204500917,4835.0,4835.0
GMBF,2023-02-14,2023-05-19,closing,91d,CH1145907858,1231.3,-1231.3
GMBF,2023-05-16,2023-05-19,opening,91d,CH1145907981,871.05,871.05
SNB Bills,2023-05-11,2023-05-22,closing,7d,CH1204501444,6740.0,-6740.0
SNB Bills,2023-04-20,2023-05-22,closing,28d,CH1204500842,11295.0,-11295.0
SNB Bills,2023-02-23,2023-05-22,closing,84d,CH1204500693,5912.0,-5912.0
SNB Bills,2023-05-17,2023-05-22,opening,84d,CH1204500933,8187.0,8187.0
SNB Bills,2023-05-17,2023-05-22,opening,28d,CH1204500925,9749.0,9749.0
SNB Bills,2023-05-17,2023-05-22,opening,7d,CH1204501436,5819.0,5819.0
Conf. Bonds,2023-05-10,2023-05-24,opening,12yr,CH0557778310,297.65,297.65
Conf. Bonds,2023-05-10,2023-05-24,opening,32yr,CH0344958472,305.35,305.35
GMBF,2023-02-21,2023-05-25,closing,91d,CH1145907866,1428.0,-1428.0
GMBF,2023-05-23,2023-05-25,opening,91d,CH1145907999,827.9,827.9
SNB Bills,2023-05-17,2023-05-30,closing,7d,CH1204501436,5819.0,-5819.0
SNB Bills,2023-04-27,2023-05-30,closing,28d,CH1204500867,14892.0,-14892.0
SNB Bills,2023-05-25,2023-05-30,opening,7d,CH1204501428,7385.0,7385.0
SNB Bills,2023-05-25,2023-05-30,opening,28d,CH1204500941,11230.0,11230.0
SNB Bills,2023-05-25,2023-05-30,opening,336d,CH1204500958,3209.0,3209.0
GMBF,2023-02-28,2023-06-01,closing,91d,CH1145907874,1158.85,-1158.85
GMBF,2023-05-30,2023-06-01,opening,91d,CH1145908005,863.05,863.05
SNB Bills,2023-05-25,2023-06-05,closing,7d,CH1204501428,7385.0,-7385.0
SNB Bills,2023-05-04,2023-06-05,closing,28d,CH1204500883,8103.0,-8103.0
SNB Bills,2023-03-09,2023-06-05,closing,84d,CH1204500735,8305.0,-8305.0
SNB Bills,2023-06-01,2023-06-05,opening,7d,CH1204501410,3675.0,3675.0
SNB Bills,2023-06-01,2023-06-05,opening,28d,CH1204500966,11514.0,11514.0
SNB Bills,2023-06-01,2023-06-05,opening,84d,CH1204500974,10179.0,10179.0
GMBF,2023-03-07,2023-06-08,closing,91d,CH1145907882,1207.6,-1207.6
GMBF,2023-06-06,2023-06-08,opening,91d,CH1145908013,838.75,838.75
SNB Bills,2023-06-01,2023-06-12,closing,7d,CH1204501410,3675.0,-3675.0
SNB Bills,2023-05-11,2023-06-12,closing,28d,CH1204500909,8580.0,-8580.0
SNB Bills,2022-12-22,2023-06-12,closing,168d,CH0134866935,4570.0,-4570.0
SNB Bills,2023-06-08,2023-06-12,opening,7d,CH1204501402,4051.0,4051.0
SNB Bills,2023-06-08,2023-06-12,opening,28d,CH1204500982,9559.0,9559.0
SNB Bills,2023-06-08,2023-06-12,opening,168d,CH1204500990,4283.0,4283.0
GMBF,2023-03-14,2023-06-15,closing,91d,CH1145907890,1181.5,-1181.5
GMBF,2023-06-13,2023-06-15,opening,91d,CH1145908021,1004.4,1004.4
SNB Bills,2023-06-08,2023-06-19,closing,7d,CH1204501402,4051.0,-4051.0
SNB Bills,2023-05-17,2023-06-19,closing,28d,CH1204500925,9749.0,-9749.0
SNB Bills,2023-03-23,2023-06-19,closing,84d,CH1204500776,4542.0,-4542.0
SNB Bills,2023-06-15,2023-06-19,opening,84d,CH1204501014,7306.0,7306.0
SNB Bills,2023-06-15,2023-06-19,opening,28d,CH1204501006,10052.0,10052.0
GMBF,2023-03-21,2023-06-22,closing,91d,CH1145907908,1256.8,-1256.8
GMBF,2023-06-20,2023-06-22,opening,91d,CH1145908039,889.2,889.2
SNB Bills,2023-05-25,2023-06-26,closing,28d,CH1204500941,11230.0,-11230.0
SNB Bills,2023-06-22,2023-06-26,opening,336d,CH1204501030,2635.0,2635.0
SNB Bills,2023-06-22,2023-06-26,opening,28d,CH1204501022,5626.0,5626.0
Conf. Bonds,2023-06-14,2023-06-28,opening,20yr,CH0557778815,602.44,602.44
GMBF,2022-06-28,2023-06-29,closing,364d,CH1145907528,257.45,-257.45
GMBF,2023-06-27,2023-06-29,opening,364d,CH1145908047,467.55,467.55
SNB Bills,2023-06-01,2023-07-03,closing,28d,CH1204500966,11514.0,-11514.0
SNB Bills,2023-04-06,2023-07-03,closing,84d,CH1204500818,5818.0,-5818.0
SNB Bills,2023-06-29,2023-07-03,opening,28d,CH1204501048,3848.0,3848.0
SNB Bills,2023-06-29,2023-07-03,opening,84d,CH1204501055,6548.0,6548.0
GMBF,2023-04-04,2023-07-06,closing,91d,CH1145907924,1055.35,-1055.35
GMBF,2023-07-04,2023-07-06,opening,91d,CH1145908054,788.85,788.85
SNB Bills,2023-06-08,2023-07-10,closing,28d,CH1204500982,9559.0,-9559.0
SNB Bills,2023-01-19,2023-07-10,closing,168d,CH0134867016,3614.0,-3614.0
SNB Bills,2023-07-06,2023-07-10,opening,28d,CH1204501063,8999.0,8999.0
SNB Bills,2023-07-06,2023-07-10,opening,168d,CH1204501071,1424.0,1424.0
GMBF,2023-04-11,2023-07-13,closing,91d,CH1145907932,1046.65,-1046.65
GMBF,2023-07-11,2023-07-13,opening,91d,CH1145908062,969.1,969.1
SNB Bills,2023-06-15,2023-07-17,closing,28d,CH1204501006,10052.0,-10052.0
SNB Bills,2023-04-20,2023-07-17,closing,84d,CH1204500859,9494.0,-9494.0
SNB Bills,2023-07-13,2023-07-17,opening,28d,CH1204501089,13939.0,13939.0
SNB Bills,2023-07-13,2023-07-17,opening,84d,CH1204501097,2299.0,2299.0
GMBF,2023-04-18,2023-07-20,closing,91d,CH1145907940,1183.4,-1183.4
GMBF,2023-07-18,2023-07-20,opening,91d,CH1145908070,897.95,897.95
SNB Bills,2023-06-22,2023-07-24,closing,28d,CH1204501022,5626.0,-5626.0
SNB Bills,2023-07-20,2023-07-24,opening,28d,CH1204501105,4170.0,4170.0
SNB Bills,2023-07-20,2023-07-24,opening,336d,CH1204501113,1030.0,1030.0
Conf. Bonds,2023-07-12,2023-07-26,opening,5yr,CH0224397346,144.25,144.25
Conf. Bonds,2023-07-12,2023-07-26,opening,10yr,CH0440081393,319.51,319.51
GMBF,2023-04-25,2023-07-27,closing,91d,CH1145907957,1004.6,-1004.6
GMBF,2023-07-25,2023-07-27,opening,91d,CH1145908088,897.5,897.5
SNB Bills,2023-06-29,2023-07-31,closing,28d,CH1204501048,3848.0,-3848.0
SNB Bills,2023-05-04,2023-07-31,closing,84d,CH1204500891,9104.0,-9104.0
SNB Bills,2023-07-27,2023-07-31,opening,28d,CH1204501121,6227.0,6227.0
SNB Bills,2023-07-27,2023-07-31,opening,84d,CH1204501139,2405.0,2405.0
GMBF,2023-05-02,2023-08-03,closing,91d,CH1145907965,851.75,-851.75
GMBF,2023-07-31,2023-08-03,opening,91d,CH1145908096,911.0,911.0
SNB Bills,2023-07-06,2023-08-07,closing,28d,CH1204501063,8999.0,-8999.0
SNB Bills,2023-02-16,2023-08-07,closing,168d,CH0134867099,2966.0,-2966.0
SNB Bills,2023-08-03,2023-08-07,opening,168d,CH1204501154,3228.0,3228.0
SNB Bills,2023-08-03,2023-08-07,opening,28d,CH1204501147,8861.0,8861.0
GMBF,2023-02-07,2023-08-10,closing,182d,CH1145907841,1488.35,-1488.35
GMBF,2023-08-08,2023-08-10,opening,182d,CH1145908104,1259.95,1259.95
SNB Bills,2023-07-13,2023-08-14,closing,28d,CH1204501089,13939.0,-13939.0
SNB Bills,2023-05-17,2023-08-14,closing,84d,CH1204500933,8187.0,-8187.0
SNB Bills,2023-08-10,2023-08-14,opening,28d,CH1204501162,9724.0,9724.0
SNB Bills,2023-08-10,2023-08-14,opening,84d,CH1204501170,2000.0,2000.0
GMBF,2023-05-16,2023-08-17,closing,91d,CH1145907981,871.05,-871.05
GMBF,2023-08-15,2023-08-17,opening,91d,CH1145908112,850.555,850.555
SNB Bills,2023-07-20,2023-08-21,closing,28d,CH1204501105,4170.0,-4170.0
SNB Bills,2023-08-17,2023-08-21,opening,28d,CH1204501188,4095.0,4095.0
SNB Bills,2023-08-17,2023-08-21,opening,336d,CH1204501196,1967.0,1967.0
GMBF,2023-05-23,2023-08-24,closing,91d,CH1145907999,827.9,-827.9
GMBF,2023-08-22,2023-08-24,opening,91d,CH1145908120,811.0,811.0
SNB Bills,2023-07-27,2023-08-28,closing,28d,CH1204501121,6227.0,-6227.0
SNB Bills,2023-06-01,2023-08-28,closing,84d,CH1204500974,10179.0,-10179.0
SNB Bills,2023-08-24,2023-08-28,opening,28d,CH1204501204,7273.0,7273.0
SNB Bills,2023-08-24,2023-08-28,opening,84d,CH1204501212,4817.0,4817.0
GMBF,2023-05-30,2023-08-31,closing,91d,CH1145908005,863.05,-863.05
GMBF,2023-08-29,2023-08-31,opening,91d,CH1145908138,834.55,834.55
SNB Bills,2023-08-03,2023-09-04,closing,28d,CH1204501147,8861.0,-8861.0
SNB Bills,2023-03-16,2023-09-04,closing,168d,CH1204500750,1935.0,-1935.0
SNB Bills,2023-08-31,2023-09-04,opening,28d,CH1204501220,3861.0,3861.0
SNB Bills,2023-08-31,2023-09-04,opening,168d,CH1204501238,6819.0,6819.0
GMBF,2023-06-06,2023-09-07,closing,91d,CH1145908013,838.75,-838.75
GMBF,2023-09-05,2023-09-07,opening,91d,CH1145908146,767.15,767.15
SNB Bills,2023-08-10,2023-09-11,closing,28d,CH1204501162,9724.0,-9724.0
SNB Bills,2023-06-15,2023-09-11,closing,84d,CH1204501014,7306.0,-7306.0
SNB Bills,2023-09-07,2023-09-11,opening,84d,CH1204501253,596.0,596.0
SNB Bills,2023-09-07,2023-09-11,opening,28d,CH1204501246,13368.0,13368.0
GMBF,2023-06-13,2023-09-14,closing,91d,CH1145908021,1004.4,-1004.4
GMBF,2023-09-12,2023-09-14,opening,91d,CH1145908153,829.95,829.95
SNB Bills,2023-08-17,2023-09-18,closing,28d,CH1204501188,4095.0,-4095.0
SNB Bills,2022-10-13,2023-09-18,closing,336d,CH0134866737,3680.0,-3680.0
SNB Bills,2023-09-14,2023-09-18,opening,336d,CH1204501279,1233.0,1233.0
SNB Bills,2023-09-14,2023-09-18,opening,28d,CH1204501261,4950.0,4950.0
GMBF,2023-06-20,2023-09-21,closing,91d,CH1145908039,889.2,-889.2
GMBF,2023-09-19,2023-09-21,opening,91d,CH1145908161,900.0,900.0
SNB Bills,2023-08-24,2023-09-25,closing,28d,CH1204501204,7273.0,-7273.0
SNB Bills,2023-06-29,2023-09-25,closing,84d,CH1204501055,6548.0,-6548.0
SNB Bills,2023-09-21,2023-09-25,opening,28d,CH1204501287,5918.0,5918.0
SNB Bills,2023-09-21,2023-09-25,opening,84d,CH1204501295,2800.0,2800.0
Conf. Bonds,2023-09-13,2023-09-27,opening,15yr,CH0440081567,325.25,325.25
Conf. Bonds,2023-09-13,2023-09-27,opening,19yr,CH0557778815,412.35,412.35
GMBF,2023-03-28,2023-09-28,closing,182d,CH1145907916,1014.3,-1014.3
GMBF,2023-09-26,2023-09-28,opening,182d,CH1145908179,973.95,973.95
SNB Bills,2023-08-31,2023-10-02,closing,28d,CH1204501220,3861.0,-3861.0
SNB Bills,2023-04-13,2023-10-02,closing,168d,CH1204500834,2862.0,-2862.0
SNB Bills,2023-09-28,2023-10-02,opening,28d,CH1204501303,2553.0,2553.0
SNB Bills,2023-09-28,2023-10-02,opening,168d,CH1204501311,2597.0,2597.0
GMBF,2023-07-04,2023-10-05,closing,91d,CH1145908054,788.85,-788.85
GMBF,2023-10-03,2023-10-05,opening,91d,CH1145908187,779.3,779.3
SNB Bills,2023-09-07,2023-10-09,closing,28d,CH1204501246,13368.0,-13368.0
SNB Bills,2023-07-13,2023-10-09,closing,84d,CH1204501097,2299.0,-2299.0
SNB Bills,2023-10-05,2023-10-09,opening,28d,CH1204501329,6269.0,6269.0
SNB Bills,2023-10-05,2023-10-09,opening,84d,CH1204501337,4618.0,4618.0
GMBF,2023-07-11,2023-10-12,closing,91d,CH1145908062,969.1,-969.1
GMBF,2023-10-10,2023-10-12,opening,91d,CH1145908195,1091.65,1091.65
SNB Bills,2023-09-14,2023-10-16,closing,28d,CH1204501261,4950.0,-4950.0
SNB Bills,2022-11-10,2023-10-16,closing,336d,CH0134866810,2065.0,-2065.0
SNB Bills,2023-10-12,2023-10-16,opening,28d,CH1204501345,4756.0,4756.0
SNB Bills,2023-10-12,2023-10-16,opening,336d,CH1204501352,1510.0,1510.0
GMBF,2023-07-18,2023-10-19,closing,91d,CH1145908070,897.95,-897.95
GMBF,2023-10-17,2023-10-19,opening,91d,CH1145908203,788.45,788.45
SNB Bills,2023-09-21,2023-10-23,closing,28d,CH1204501287,5918.0,-5918.0
SNB Bills,2023-07-27,2023-10-23,closing,84d,CH1204501139,2405.0,-2405.0
SNB Bills,2023-10-19,2023-10-23,opening,28d,CH1204501360,5778.0,5778.0
SNB Bills,2023-10-19,2023-10-23,opening,84d,CH1204501378,2183.0,2183.0
Conf. Bonds,2023-10-11,2023-10-25,opening,6yr,CH0224397171,128.5,128.5
Conf. Bonds,2023-10-11,2023-10-25,opening,12yr,CH0024524966,265.85,265.85
Conf. Bonds,2023-10-11,2023-10-25,opening,34yr,CH0224397338,382.1,382.1
GMBF,2023-07-25,2023-10-26,closing,91d,CH1145908088,897.5,-897.5
GMBF,2023-10-24,2023-10-26,opening,91d,CH1145908211,747.15,747.15
SNB Bills,2023-09-28,2023-10-30,closing,28d,CH1204501303,2553.0,-2553.0
SNB Bills,2023-05-11,2023-10-30,closing,168d,CH1204500917,4835.0,-4835.0
SNB Bills,2023-10-26,2023-10-30,opening,168d,CH1204501394,2096.0,2096.0
SNB Bills,2023-10-26,2023-10-30,opening,28d,CH1204501386,4373.0,4373.0
GMBF,2023-07-31,2023-11-02,closing,91d,CH1145908096,911.0,-911.0
GMBF,2023-10-31,2023-11-02,opening,91d,CH1145908229,748.1,748.1
SNB Bills,2023-10-05,2023-11-06,closing,28d,CH1204501329,6269.0,-6269.0
SNB Bills,2023-08-10,2023-11-06,closing,84d,CH1204501170,2000.0,-2000.0
SNB Bills,2023-11-02,2023-11-06,opening,28d,CH1258960645,4973.0,4973.0
SNB Bills,2023-11-02,2023-11-06,opening,84d,CH1204501592,2694.0,2694.0
GMBF,2023-05-09,2023-11-09,closing,182d,CH1145907973,852.85,-852.85
GMBF,2023-11-07,2023-11-09,opening,182d,CH1145908237,951.5,951.5
SNB Bills,2023-10-12,2023-11-13,closing,28d,CH1204501345,4756.0,-4756.0
SNB Bills,2022-12-08,2023-11-13,closing,336d,CH0134866893,2702.0,-2702.0
SNB Bills,2023-11-09,2023-11-13,opening,28d,CH1204501600,7375.0,7375.0
SNB Bills,2023-11-09,2023-11-13,opening,336d,CH1204501618,610.0,610.0
GMBF,2023-08-15,2023-11-16,closing,91d,CH1145908112,850.555,-850.555
GMBF,2023-11-14,2023-11-16,opening,91d,CH1145908245,737.8,737.8
SNB Bills,2023-10-19,2023-11-20,closing,28d,CH1204501360,5778.0,-5778.0
SNB Bills,2023-08-24,2023-11-20,closing,84d,CH1204501212,4817.0,-4817.0
SNB Bills,2023-11-16,2023-11-20,opening,28d,CH1204501626,6347.0,6347.0
SNB Bills,2023-11-16,2023-11-20,opening,84d,CH1204501634,4966.0,4966.0
Conf. Bonds,2023-11-08,2023-11-22,opening,10yr,CH0440081393,354.95,354.95
Conf. Bonds,2023-11-08,2023-11-22,opening,15yr,CH0440081401,621.68,621.68
GMBF,2023-08-22,2023-11-23,closing,91d,CH1145908120,811.0,-811.0
GMBF,2023-11-21,2023-11-23,opening,91d,CH1145908252,689.9,689.9
SNB Bills,2023-10-26,2023-11-27,closing,28d,CH1204501386,4373.0,-4373.0
SNB Bills,2023-06-08,2023-11-27,closing,168d,CH1204500990,4283.0,-4283.0
SNB Bills,2023-11-23,2023-11-27,opening,28d,CH1204501642,7219.0,7219.0
SNB Bills,2023-11-23,2023-11-27,opening,168d,CH1204501659,1284.0,1284.0
GMBF,2023-08-29,2023-11-30,closing,91d,CH1145908138,834.55,-834.55
GMBF,2023-11-28,2023-11-30,opening,91d,CH1145908260,747.25,747.25
SNB Bills,2023-11-02,2023-12-04,closing,28d,CH1258960645,4973.0,-4973.0
SNB Bills,2023-09-07,2023-12-04,closing,84d,CH1204501253,596.0,-596.0
SNB Bills,2023-11-30,2023-12-04,opening,28d,CH1204501667,8214.0,8214.0
SNB Bills,2023-11-30,2023-12-04,opening,84d,CH1204501675,1294.0,1294.0
GMBF,2023-09-05,2023-12-07,closing,91d,CH1145908146,767.15,-767.15
